year,month,mean,median,min,max,std,p25,p75
1984,02,0.387,0.391,0.163,0.61,0.08,0.327,0.447
1984,05,0.592,0.597,0.306,0.877,0.102,0.515,0.668
1984,08,0.319,0.322,0.107,0.53,0.075,0.262,0.375
1985,02,0.381,0.385,0.161,0.601,0.079,0.322,0.44
1985,05,0.582,0.588,0.301,0.864,0.1,0.507,0.658
1985,08,0.314,0.317,0.106,0.522,0.074,0.258,0.369
1986,02,0.383,0.387,0.162,0.605,0.079,0.324,0.443
1986,05,0.586,0.592,0.303,0.869,0.101,0.51,0.662
1986,08,0.316,0.319,0.106,0.525,0.075,0.26,0.372
1987,02,0.376,0.379,0.159,0.593,0.078,0.318,0.434
1987,05,0.575,0.58,0.297,0.852,0.099,0.5,0.649
1987,08,0.309,0.312,0.104,0.515,0.073,0.254,0.364
1988,02,0.378,0.382,0.16,0.597,0.078,0.32,0.437
1988,05,0.579,0.584,0.299,0.858,0.1,0.504,0.653
1988,08,0.311,0.315,0.105,0.518,0.074,0.256,0.367
1989,02,0.373,0.377,0.157,0.589,0.077,0.315,0.431
1989,05,0.571,0.576,0.295,0.846,0.098,0.497,0.645
1989,08,0.307,0.31,0.104,0.511,0.073,0.253,0.362
1990,02,0.37,0.373,0.156,0.584,0.076,0.312,0.427
1990,05,0.566,0.571,0.292,0.839,0.098,0.492,0.639
1990,08,0.304,0.308,0.103,0.506,0.072,0.25,0.359
1991,02,0.364,0.367,0.153,0.574,0.075,0.307,0.42
1991,05,0.556,0.562,0.288,0.825,0.096,0.484,0.628
1991,08,0.3,0.303,0.101,0.498,0.071,0.246,0.353
1992,02,0.358,0.361,0.151,0.565,0.074,0.302,0.413
1992,05,0.547,0.553,0.283,0.812,0.094,0.476,0.618
1992,08,0.295,0.298,0.099,0.49,0.07,0.242,0.347
1993,02,0.353,0.356,0.149,0.557,0.073,0.298,0.407
1993,05,0.539,0.545,0.279,0.8,0.093,0.47,0.609
1993,08,0.29,0.293,0.098,0.483,0.069,0.239,0.342
1994,02,0.347,0.35,0.146,0.547,0.072,0.293,0.401
1994,05,0.53,0.536,0.274,0.787,0.091,0.462,0.599
1994,08,0.286,0.288,0.096,0.475,0.068,0.235,0.336
1995,02,0.34,0.343,0.143,0.537,0.07,0.287,0.393
1995,05,0.52,0.525,0.269,0.771,0.09,0.453,0.587
1995,08,0.28,0.283,0.094,0.466,0.066,0.23,0.33
1996,02,0.334,0.337,0.141,0.527,0.069,0.282,0.386
1996,05,0.511,0.516,0.264,0.758,0.088,0.445,0.577
1996,08,0.275,0.278,0.093,0.457,0.065,0.226,0.324
1997,02,0.327,0.331,0.138,0.516,0.068,0.277,0.378
1997,05,0.501,0.506,0.259,0.742,0.086,0.436,0.565
1997,08,0.269,0.272,0.091,0.448,0.064,0.222,0.317
1998,02,0.321,0.325,0.136,0.507,0.066,0.272,0.371
1998,05,0.491,0.496,0.254,0.729,0.085,0.428,0.555
