year,month,mean,median,min,max,std,p25,p75,water_area_ha,wetland_coverage_pct
1984,02,0.389,0.406,-0.275,1.0,0.237,0.211,0.566,654.0,90.3
1984,05,0.268,0.28,-0.242,0.778,0.182,0.131,0.405,451.0,62.3
1984,08,0.147,0.154,-0.261,0.556,0.146,0.038,0.257,248.0,34.3
1985,02,0.374,0.391,-0.265,1.0,0.228,0.203,0.545,638.0,88.1
1985,05,0.258,0.27,-0.233,0.749,0.175,0.126,0.39,440.0,60.8
1985,08,0.142,0.148,-0.251,0.535,0.14,0.037,0.247,242.0,33.4
1986,02,0.37,0.386,-0.261,1.0,0.225,0.201,0.539,634.0,87.5
1986,05,0.255,0.266,-0.231,0.741,0.173,0.125,0.385,437.0,60.4
1986,08,0.14,0.147,-0.248,0.529,0.139,0.036,0.244,240.0,33.2
1987,02,0.355,0.371,-0.251,0.962,0.217,0.193,0.518,616.0,85.1
1987,05,0.245,0.256,-0.221,0.711,0.167,0.12,0.37,425.0,58.7
1987,08,0.135,0.141,-0.238,0.508,0.133,0.035,0.235,234.0,32.3
1988,02,0.351,0.367,-0.248,0.95,0.214,0.19,0.511,609.0,84.1
1988,05,0.242,0.253,-0.219,0.703,0.165,0.119,0.365,420.0,58.0
1988,08,0.133,0.139,-0.236,0.502,0.132,0.034,0.232,231.0,31.9
1989,02,0.334,0.349,-0.236,0.903,0.203,0.181,0.486,590.0,81.5
1989,05,0.23,0.24,-0.208,0.668,0.156,0.113,0.347,407.0,56.2
1989,08,0.127,0.132,-0.224,0.477,0.125,0.033,0.22,224.0,30.9
1990,02,0.316,0.33,-0.223,0.856,0.193,0.172,0.461,570.0,78.7
1990,05,0.218,0.228,-0.197,0.633,0.148,0.107,0.329,393.0,54.3
1990,08,0.12,0.125,-0.212,0.452,0.119,0.031,0.209,216.0,29.9
1991,02,0.297,0.311,-0.21,0.805,0.181,0.161,0.433,548.0,75.7
1991,05,0.205,0.214,-0.185,0.595,0.139,0.1,0.31,378.0,52.2
1991,08,0.113,0.118,-0.2,0.425,0.112,0.029,0.196,208.0,28.7
1992,02,0.278,0.291,-0.197,0.754,0.17,0.151,0.406,526.0,72.7
1992,05,0.192,0.201,-0.174,0.558,0.131,0.094,0.29,363.0,50.1
1992,08,0.106,0.11,-0.187,0.398,0.104,0.027,0.184,200.0,27.6
1993,02,0.261,0.273,-0.185,0.707,0.159,0.142,0.38,505.0,69.7
