year,layer,mean,min,max,stdDev
1984,NDVI,0.5561,0.0724,0.8385,0.1338
1984,NDWI,0.2571,-0.0527,0.6235,0.1307
1984,EVI,0.4174,0.0544,0.6842,0.0901
1984,MNDWI,0.2075,-0.0742,0.5582,0.1108
1984,NDMI,0.3111,-0.0207,0.6149,0.1013
1984,LST,23.42,16.32,31.59,3.31
1984,Precipitation,516.6,272.7,618.2,55.2
1985,NDVI,0.5570,0.0827,0.8639,0.1457
1985,NDWI,0.2473,-0.0591,0.5897,0.1422
1985,EVI,0.4242,0.0622,0.7177,0.0921
1985,MNDWI,0.2218,-0.0733,0.5319,0.1075
1985,NDMI,0.2988,-0.0172,0.5784,0.1068
1985,LST,23.35,15.86,31.87,3.38
1985,Precipitation,459.4,298.0,659.8,62.3
1986,NDVI,0.5198,0.0858,0.8294,0.1383
1986,NDWI,0.2567,-0.0557,0.5974,0.1462
1986,EVI,0.4178,0.0649,0.6799,0.0851
1986,MNDWI,0.2083,-0.0798,0.5278,0.1205
1986,NDMI,0.3152,-0.0171,0.6024,0.1096
1986,LST,23.91,16.08,31.79,3.45
1986,Precipitation,480.9,266.5,653.1,66.9
1987,NDVI,0.5215,0.0783,0.8700,0.1417
1987,NDWI,0.2270,-0.0477,0.5679,0.1459
1987,EVI,0.4093,0.0613,0.6683,0.0912
1987,MNDWI,0.2220,-0.0874,0.5657,0.1203
1987,NDMI,0.2813,-0.0193,0.6011,0.1129
1987,LST,23.16,16.45,31.59,3.61
1987,Precipitation,470.3,295.5,673.8,60.0
1988,NDVI,0.5176,0.0786,0.8639,0.1504
1988,NDWI,0.2293,-0.0594,0.5944,0.1360
1988,EVI,0.4016,0.0635,0.7054,0.0945
1988,MNDWI,0.1937,-0.0852,0.5112,0.1229
1988,NDMI,0.2985,-0.0193,0.5809,0.1050
1988,LST,24.19,17.03,31.71,3.69
1988,Precipitation,437.5,285.4,663.5,59.2
1989,NDVI,0.5085,0.0858,0.8294,0.1510
1989,NDWI,0.2291,-0.0537,0.5873,0.1503
1989,EVI,0.3774,0.0613,0.7147,0.0973
1989,MNDWI,0.2010,-0.0916,0.5135,0.1111
1989,NDMI,0.2750,-0.0168,0.5748,0.1087
1989,LST,23.20,16.59,32.28,3.99
1989,Precipitation,498.8,253.8,621.1,67.2
1990,NDVI,0.4900,0.0797,0.8614,0.1446
1990,NDWI,0.2268,-0.0657,0.5999,0.1388
1990,EVI,0.3677,0.0636,0.6808,0.0955
1990,MNDWI,0.2045,-0.0974,0.5562,0.1100
1990,NDMI,0.2688,-0.0145,0.6019,0.1099
1990,LST,23.53,16.37,32.99,3.67
1990,Precipitation,448.0,289.4,635.1,70.8
1991,NDVI,0.4953,0.0792,0.8628,0.1512
1991,NDWI,0.2363,-0.0702,0.5992,0.1392
1991,EVI,0.3729,0.0615,0.6771,0.0902
1991,MNDWI,0.1927,-0.1069,0.5149,0.1241
1991,NDMI,0.2621,-0.0143,0.6038,0.1244
1991,LST,24.22,16.89,32.48,3.72
1991,Precipitation,503.5,272.9,641.0,70.3
1992,NDVI,0.4680,0.0895,0.8361,0.1521
1992,NDWI,0.2110,-0.0728,0.5518,0.1406
1992,EVI,0.3695,0.0683,0.6656,0.0920
1992,MNDWI,0.2010,-0.0920,0.5290,0.1223
1992,NDMI,0.2532,-0.0145,0.5811,0.1241
1992,LST,23.87,16.96,32.90,3.83
1992,Precipitation,477.7,259.4,622.0,71.4
1993,NDVI,0.4608,0.0883,0.8592,0.1560
1993,NDWI,0.2052,-0.0601,0.5595,0.1593
1993,EVI,0.3710,0.0718,0.6704,0.0936
1993,MNDWI,0.1960,-0.1051,0.5266,0.1307
1993,NDMI,0.2509,-0.0106,0.5922,0.1130
1993,LST,24.70,17.41,32.81,3.71
1993,Precipitation,430.6,268.8,616.9,70.4
1994,NDVI,0.4772,0.0847,0.8392,0.1395
1994,NDWI,0.2122,-0.0757,0.5897,0.1402
1994,EVI,0.3512,0.0645,0.6482,0.1043
1994,MNDWI,0.1880,-0.0966,0.5300,0.1235
1994,NDMI,0.2373,-0.0100,0.5555,0.1247
1994,LST,25.22,16.83,34.91,4.05
1994,Precipitation,431.8,249.2,617.9,75.6
1995,NDVI,0.4719,0.0976,0.8506,0.1388
1995,NDWI,0.2025,-0.0610,0.5829,0.1603
1995,EVI,0.3441,0.0699,0.6539,0.1079
1995,MNDWI,0.1894,-0.1167,0.5302,0.1313
1995,NDMI,0.2200,-0.0129,0.5648,0.1264
1995,LST,25.24,17.44,35.05,3.90
1995,Precipitation,481.0,247.0,658.9,76.1
1996,NDVI,0.4428,0.0978,0.8270,0.1414
1996,NDWI,0.2123,-0.0652,0.5371,0.1445
1996,EVI,0.3353,0.0740,0.6950,0.0984
1996,MNDWI,0.1810,-0.1044,0.5356,0.1257
1996,NDMI,0.2326,-0.0093,0.5915,0.1129
1996,LST,25.64,16.50,33.32,4.06
1996,Precipitation,474.3,254.2,637.0,72.2
1997,NDVI,0.4407,0.0944,0.8151,0.1514
1997,NDWI,0.1892,-0.0820,0.5632,0.1584
1997,EVI,0.3398,0.0721,0.6602,0.0959
1997,MNDWI,0.1779,-0.1048,0.4983,0.1333
1997,NDMI,0.2195,-0.0094,0.5588,0.1180
1997,LST,24.97,16.63,33.57,4.10
1997,Precipitation,489.2,267.9,657.6,74.7
1998,NDVI,0.4297,0.0949,0.8008,0.1420
1998,NDWI,0.1958,-0.0763,0.5666,0.1531
1998,EVI,0.3252,0.0665,0.6636,0.1107
1998,MNDWI,0.1771,-0.1027,0.4836,0.1278
1998,NDMI,0.2094,-0.0089,0.5794,0.1253
1998,LST,25.54,16.58,33.96,3.88
1998,Precipitation,431.6,258.0,651.8,67.7
