year,scene_count,mean_cloud_cover,min_cloud_cover,first_acquisition,last_acquisition
1984,8,12.2,0.8,1984-01-02,1984-12-02
1985,13,18.0,1.0,1985-01-28,1985-12-03
1986,17,15.1,2.6,1986-01-26,1986-12-24
1987,8,13.4,4.4,1987-01-11,1987-12-20
1988,15,14.0,5.4,1988-01-26,1988-12-27
1989,13,19.8,1.1,1989-01-02,1989-12-08
1990,15,19.9,4.4,1990-01-12,1990-12-12
1991,12,12.6,4.0,1991-01-02,1991-12-26
1992,18,15.8,0.9,1992-04-10,1992-10-09
1993,18,19.6,4.9,1993-01-03,1993-12-19
1994,18,9.7,1.7,1994-01-23,1994-12-22
1995,14,9.5,2.8,1995-04-21,1995-10-26
1996,13,17.8,4.9,1996-01-24,1996-12-22
1997,16,9.1,2.6,1997-01-01,1997-12-12
1998,12,10.2,1.3,1998-01-16,1998-12-07
1999,11,20.0,1.7,1999-01-26,1999-12-04
2000,16,17.3,5.9,2000-01-02,2000-12-22
2001,13,18.5,4.8,2001-01-05,2001-12-06
2002,10,18.0,5.7,2002-01-06,2002-12-24
2003,15,8.5,1.6,2003-01-15,2003-12-20
2004,12,17.0,5.4,2004-01-08,2004-12-10
2005,15,18.8,1.9,2005-01-19,2005-12-15
2006,15,17.2,5.5,2006-01-14,2006-12-06
2007,11,17.6,1.4,2007-01-21,2007-12-16
2008,13,14.7,1.1,2008-01-28,2008-12-04
2009,12,9.0,1.0,2009-01-17,2009-12-05
2010,14,9.1,3.4,2010-01-12,2010-12-01
2011,14,8.6,2.0,2011-01-03,2011-12-12
2012,5,11.8,1.8,2012-04-26,2012-10-05
2013,17,5.4,2.0,2013-01-27,2013-12-05
2014,22,9.5,0.5,2014-03-27,2014-09-05
2015,23,14.4,3.7,2015-01-25,2015-12-10
2016,18,8.0,0.6,2016-01-26,2016-12-20
2017,22,5.6,2.0,2017-01-18,2017-12-01
2018,25,10.2,1.4,2018-03-20,2018-09-12
2019,18,10.7,1.2,2019-01-17,2019-12-12
2020,16,14.5,3.4,2020-01-17,2020-12-18
2021,15,8.9,1.9,2021-01-12,2021-12-09
2022,15,8.6,0.7,2022-01-22,2022-12-21
2023,16,12.7,3.9,2023-01-02,2023-12-12
2024,23,8.4,2.3,2024-01-22,2024-12-15
